MATERIAL_CONFLICT,any_diff,course_code,course_name,campus,field,A_uploaded_sheet,B_website,C_counsellor_course_tab,D_whatsapp,E_navya,CHOSEN_VALUE (fill this in),NOTES
,,BSAV-NUR,Nursery,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,,,
,,BSAV-TOD,Toddlers,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-TOD,Toddlers,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,,,
,,BSAV-TOD,Toddlers,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,,,
,,BSAV-UKG,UKG,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-UKG,UKG,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,,,
,,BSAV-UKG,UKG,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,,,
,,BSCN-GN,Bachelor of Science in Nursing (B.Sc Nursing),Greater Noida Campus,intake_seats,40,40,40,,,,
,,DAOTT-GN,Diploma of Anesthesia & OT Technology (D.AOTT),Greater Noida Campus,age,,,17-,,,,
,,DAOTT-GN,Diploma of Anesthesia & OT Technology (D.AOTT),Greater Noida Campus,entrance_exam,,,,,Merit-based / as per current admission rules,,
,,DAOTT-GN,Diploma of Anesthesia & OT Technology (D.AOTT),Greater Noida Campus,subjects,,,"Physics, Chemistry, Biology or Mathematics",,,,
,,DELED-GZ,Diploma in Elementary Education (D.El.Ed),Ghaziabad Campus 2 (Avantika),age,NA,,,,,,
,,DELED-GZ,Diploma in Elementary Education (D.El.Ed),Ghaziabad Campus 2 (Avantika),fee_first_year,,50000,,,,,
,,DELED-GZ,Diploma in Elementary Education (D.El.Ed),Ghaziabad Campus 2 (Avantika),intake_seats,50,50,50,,,,
,,DELED-GZ,Diploma in Elementary Education (D.El.Ed),Ghaziabad Campus 2 (Avantika),subjects,Any Graduate,,Any Graduate,,,,
,,DPHARMA-GN,Diploma in Pharmacy (D.Pharma),Greater Noida Campus,age,NA,,,,,,
,,DPHARMA-GN,Diploma in Pharmacy (D.Pharma),Greater Noida Campus,intake_seats,60,60,60,,,,
,,DPT-GN,Diploma in Physiotherapy (DPT),Greater Noida Campus,fee_first_year,,55000,,,,,
,,GNM-GN,General Nursing & Midwifery (GNM),Greater Noida Campus,intake_seats,30,30,30,,,,
,,LLB-GN,Bachelor of Laws (LLB),Greater Noida Campus,age,NA,,,,,,
,,LLB-GN,Bachelor of Laws (LLB),Greater Noida Campus,intake_seats,60,60,60,,,,
,,LLB-GN,Bachelor of Laws (LLB),Greater Noida Campus,subjects,Any Graduate,,Any Graduate,,,,
,,LLB-KT,Bachelor of Laws (LLB),Kotputli Jaipur Campus,age,NA,,,,,,
,,LLB-KT,Bachelor of Laws (LLB),Kotputli Jaipur Campus,intake_seats,60,,60,,,,
,,LLB-KT,Bachelor of Laws (LLB),Kotputli Jaipur Campus,subjects,Any Graduate,,Any Graduate,,,,
,,MBA-GN,Master of Business Administration (MBA),Greater Noida Campus,age,NA,,,,,,
,,MBA-GN,Master of Business Administration (MBA),Greater Noida Campus,intake_seats,60,60,60,,,,
,,MBA-GN,Master of Business Administration (MBA),Greater Noida Campus,subjects,Any Graduate,,Any Graduate,,,,
,,MES-EYP1,EYP 1 (Junior/Nursery),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-EYP1,EYP 1 (Junior/Nursery),Ghaziabad Campus 2 (Avantika),age,,,3-,,,,
,,MES-EYP1,EYP 1 (Junior/Nursery),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,,,
,,MES-EYP1,EYP 1 (Junior/Nursery),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 3 years plus,,,,
,,MES-EYP2,EYP 2 (Senior/LKG),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-EYP2,EYP 2 (Senior/LKG),Ghaziabad Campus 2 (Avantika),age,,,4-,,,,
,,MES-EYP2,EYP 2 (Senior/LKG),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,,,
,,MES-EYP2,EYP 2 (Senior/LKG),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 4 years plus,,,,
,,MES-EYP3,EYP 3 (Graduation/UKG),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-EYP3,EYP 3 (Graduation/UKG),Ghaziabad Campus 2 (Avantika),age,,,5-,,,,
,,MES-EYP3,EYP 3 (Graduation/UKG),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,,,
,,MES-EYP3,EYP 3 (Graduation/UKG),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 5 years plus,,,,
,,MES-MON,Montessori,Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-MON,Montessori,Ghaziabad Campus 2 (Avantika),age,,,2-,,,,
,,MES-MON,Montessori,Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,,,
,,MES-MON,Montessori,Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 2 years plus,,,,
,,MES-MYP1,MYP 1 (Grade VI),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-MYP1,MYP 1 (Grade VI),Ghaziabad Campus 2 (Avantika),age,,,11-,,,,
,,MES-MYP1,MYP 1 (Grade VI),Ghaziabad Campus 2 (Avantika),entrance_exam,,,,,Interaction and age-appropriate assessment,,
,,MES-MYP1,MYP 1 (Grade VI),Ghaziabad Campus 2 (Avantika),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,MES-MYP2,MYP 2 (Grade VII),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-MYP2,MYP 2 (Grade VII),Ghaziabad Campus 2 (Avantika),age,,,12-,,,,
,,MES-MYP2,MYP 2 (Grade VII),Ghaziabad Campus 2 (Avantika),entrance_exam,,,,,Interaction and age-appropriate assessment,,
,,MES-MYP2,MYP 2 (Grade VII),Ghaziabad Campus 2 (Avantika),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,MES-MYP3,MYP 3 (Grade VIII),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-MYP3,MYP 3 (Grade VIII),Ghaziabad Campus 2 (Avantika),age,,,13-,,,,
,,MES-MYP3,MYP 3 (Grade VIII),Ghaziabad Campus 2 (Avantika),entrance_exam,,,,,Interaction and age-appropriate assessment,,
,,MES-MYP3,MYP 3 (Grade VIII),Ghaziabad Campus 2 (Avantika),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,MES-PYP1,PYP 1 (Grade I),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-PYP1,PYP 1 (Grade I),Ghaziabad Campus 2 (Avantika),age,,,6-,,,,
,,MES-PYP1,PYP 1 (Grade I),Ghaziabad Campus 2 (Avantika),entrance_exam,,,,,Interaction and age-appropriate assessment,,
,,MES-PYP1,PYP 1 (Grade I),Ghaziabad Campus 2 (Avantika),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,MES-PYP2,PYP 2 (Grade II),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-PYP2,PYP 2 (Grade II),Ghaziabad Campus 2 (Avantika),age,,,7-,,,,
,,MES-PYP2,PYP 2 (Grade II),Ghaziabad Campus 2 (Avantika),entrance_exam,,,,,Interaction and age-appropriate assessment,,
,,MES-PYP2,PYP 2 (Grade II),Ghaziabad Campus 2 (Avantika),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,MES-PYP3,PYP 3 (Grade III),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-PYP3,PYP 3 (Grade III),Ghaziabad Campus 2 (Avantika),age,,,8-,,,,
,,MES-PYP3,PYP 3 (Grade III),Ghaziabad Campus 2 (Avantika),entrance_exam,,,,,Interaction and age-appropriate assessment,,
,,MES-PYP3,PYP 3 (Grade III),Ghaziabad Campus 2 (Avantika),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,MES-PYP4,PYP 4 (Grade IV),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-PYP4,PYP 4 (Grade IV),Ghaziabad Campus 2 (Avantika),age,,,9-,,,,
,,MES-PYP4,PYP 4 (Grade IV),Ghaziabad Campus 2 (Avantika),entrance_exam,,,,,Interaction and age-appropriate assessment,,
,,MES-PYP4,PYP 4 (Grade IV),Ghaziabad Campus 2 (Avantika),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,MES-PYP5,PYP 5 (Grade V),Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-PYP5,PYP 5 (Grade V),Ghaziabad Campus 2 (Avantika),age,,,10-,,,,
,,MES-PYP5,PYP 5 (Grade V),Ghaziabad Campus 2 (Avantika),entrance_exam,,,,,Interaction and age-appropriate assessment,,
,,MES-PYP5,PYP 5 (Grade V),Ghaziabad Campus 2 (Avantika),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,MES-TOD,Toddlers,Ghaziabad Campus 2 (Avantika),affiliation,,,NIMT Educational Institutions,,,,
,,MES-TOD,Toddlers,Ghaziabad Campus 2 (Avantika),age,,,2-,,,,
,,MES-TOD,Toddlers,Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,,,
,,MES-TOD,Toddlers,Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 1.6 years,,,,
,,MMRIT-GN,M.Sc. in Medical Radiology & Imaging Technology (MMRIT),Greater Noida Campus,intake_seats,20,20,20,,,,
,,MPT-GN,Masters in Physiotherapy (MPT),Greater Noida Campus,intake_seats,,20,20,,,,
,,PGDM-GN,Post Graduate Diploma in Management (PGDM),Greater Noida Campus,age,NA,,,,,,
,,PGDM-GN,Post Graduate Diploma in Management (PGDM),Greater Noida Campus,intake_seats,60,60,60,,,,
,,PGDM-GN,Post Graduate Diploma in Management (PGDM),Greater Noida Campus,subjects,Any Graduate,,Any Graduate,,,,
,,PGDM-KT,Post Graduate Diploma in Management (PGDM),Kotputli Jaipur Campus,age,NA,,,,,,
,,PGDM-KT,Post Graduate Diploma in Management (PGDM),Kotputli Jaipur Campus,intake_seats,60,60,60,,,,
,,PGDM-KT,Post Graduate Diploma in Management (PGDM),Kotputli Jaipur Campus,subjects,Any Graduate,,Any Graduate,,,,
